"DOY","Yield"
141,0
141,0
141,0
141,0
168,0.553333333
168,0.567567568
168,0.56206089
168,0.560987264
185,1.051707317
185,1.026296296
185,1.051707317
185,1.026296296
196,4.6359
196,2.544
196,2.421814815
196,5.0565
211,7.423333333
211,11.65094017
211,7.399257576
211,10.99033058
225,16.46884107
225,16.7396003
225,17.17676471
225,14.98377215
243,22.58048571
243,17.55426941
243,24.20755981
243,16.09397531
263,36.63404739
263,30.262
263,45.29688889
263,20.60917105
283,30.06087805
283,29.76597826
283,38.43803279
283,31.4793617
303,23.20725696
303,16.03401869
303,29.30742188
303,23.34675159
